EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,Toxic items not properly stored. (cleaning spray)  ,605,1
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,19,Food/Non-food contact surfaces of equip/utensils clean,No,Non-food contact surfaces have accumulation of soil. (gaskets)  ,605,2
34955,2018/02/23 05:00:00+00,1360487,FOOD SERVICE,BEARNO'S BY THE BRIDGE,133,W MAIN ST,LOUISVILLE,KY,40202,REGULAR,65,20,"Storage, handling of clean equipment/utensils/single service articles",No,Improper display/storage of single service items. (stored on floor)  ,605,3
76227,2018/03/30 04:00:00+00,1368843,FOOD SERVICE,AFC SUSHI @ KROGER #743,12611,TAYLORSVILLE RD,LOUISVILLE,KY,40299,REGULAR,93,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service.  Potentially hazardous food not maintained at 135 degrees Fahrenheit or higher at all times except during necessary periods of preparation and service.  (Brown Rice),605,4
34318,2018/04/16 04:00:00+00,1372786,FOOD SERVICE,DOMINO'S PIZZA #1422,3951,TAYLORSVILLE RD,LOUISVILLE,KY,40220,REGULAR,86,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,SAW BARE HAND CONTACTED WITH READY TO EAT FOOD. (COOKED PHILLY CHEESE STEAK) CORRECED BARRIER NOT USED TO TURN OFF FAUCET AFTER HAND WASHING CORRECTED,605,5
34318,2018/04/16 04:00:00+00,1372786,FOOD SERVICE,DOMINO'S PIZZA #1422,3951,TAYLORSVILLE RD,LOUISVILLE,KY,40220,REGULAR,86,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,TOXIC ITEMS STORED NEXT TO FOIL AND BOX OF PLATES. CORRECTED. TOXIC ITEMS NOT LABELED. CORRECTED,605,6
99861,2018/02/21 05:00:00+00,1359872,FOOD SERVICE,NEW WAVE BURRITOS,3311,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,85,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Bare hand contact with ready-to eat foods.  Hands not washed properly.  ,605,7
99861,2018/02/21 05:00:00+00,1359872,FOOD SERVICE,NEW WAVE BURRITOS,3311,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,85,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (leak at 3 compartment sink)  ,605,8
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,2,"Container, properly labeled",No,Container without label.  ,605,9
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,5,Thermometers provided and conspicuous,No,Lack of accurate thermometers in all refrigeration and freezing units storing potentially hazardous foods.  ,605,10
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,8,"Food Protection - storage, prep, display, service, transp.",No,Food not stored at least 6`` off the floor.  ,605,11
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,In use utensil(s) stored in stagnant water below 135 degrees F.  ,605,12
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (personal drink stored next to and above customer food and food preperation) (corrected)  ,605,13
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,15,"Food/Non-food contact surfaces designed, constructed, maintained, installed",No,"Equipment not maintained in good repair and proper adjustment. (use of adhesive tape on fryer handle)  Food contact surfaces and/or utensils are not durable, corrosion resistant or non-absorbent. (lining counter with absorbent towel)  ",605,14
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,17,"SANITIZATION RINSE, TEMP., CONCE., EXP. TIME, EQUIP. UTENSILS, SANITIZED",Yes,Food contact surfaces not clean and sanitized. (can-opener blade)  The chlorine solution for manual/mechanical warewashing is not at the proper concentration level. (dishwasher functioning at below 50 ppm chlorine solution) (corrected)  ,605,15
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,18,"Wiping cloths clean, use restricted",No,Cloths in use not stored in sanitizer solution.  ,605,16
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,22,SEWAGE AND WASTE DISPOSAL.,Yes,All sewage and waste water not disposed of in an approved manner. (sewage back up in 3 compartment sink)  ,605,17
65555,2018/04/04 04:00:00+00,1369812,FOOD SERVICE,TUMBLEWEED,4255,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,66,23,"Installed, maintained",No,Condensation leak inside of cooler(s).  ,605,18
